KodeNegara,Year,GDP,Growth
DMA,2023,1068000000.0,0.047
DMA,2024,1144000000.0,0.046
DOM,2020,194373000000.0,-0.067
DOM,2021,228232000000.0,0.123
DOM,2022,256170000000.00003,0.049
DOM,2023,271903000000.00003,0.024
DOM,2024,293365000000.0,0.054
ECU,2020,189076000000.0,-0.092
ECU,2021,217160000000.0,0.098
ECU,2022,246830000000.0,0.062
ECU,2023,261671000000.0,0.023
ECU,2024,268199000000.0,0.001
EGY,2020,1357998000000.0,0.036
EGY,2021,1466471000000.0,0.033
EGY,2022,1674152000000.0,0.067
EGY,2023,1800425000000.0,0.038
EGY,2024,1898538000000.0,0.03
EST,2020,50328000000.0,-0.01
EST,2021,56451000000.0,0.072
EST,2022,60147000000.0,-0.005
EST,2023,60466000000.0,-0.03
EST,2024,61598000000.0,-0.005
ETH,2020,282314000000.0,0.061
ETH,2021,313757000000.0,0.063
ETH,2022,357199000000.0,0.064
ETH,2023,396785000000.0,0.072
ETH,2024,431688000000.0,0.062
FIN,2020,276087000000.0,-0.024
FIN,2021,296941000000.0,0.0279999999999999
FIN,2022,322093000000.0,0.013
FIN,2023,330640000000.0,-0.01
FIN,2024,340043000000.0,0.004
FRA,2020,3029712000000.0,-0.075
FRA,2021,3368900000000.0,0.063
FRA,2022,3697190000000.0,0.025
FRA,2023,3865251000000.0,0.009
FRA,2024,3987911000000.0,0.0069999999999999
GAB,2020,33590000000.000004,-0.018
GAB,2021,35646000000.0,0.015
GAB,2022,39314000000.0,0.03
GAB,2023,41671000000.0,0.023
GAB,2024,43915000000.0,0.0289999999999999
GBR,2020,2972378000000.0,-0.104
GBR,2021,3378336000000.0,0.087
GBR,2022,3773329000000.0,0.043
GBR,2023,3916531000000.0,0.001
GBR,2024,4029438000000.0,0.005
GEO,2020,56711000000.0,-0.063
GEO,2021,65623999999.99999,0.106
GEO,2022,77943000000.0,0.11
GEO,2023,86822000000.0,0.075
GEO,2024,94020000000.0,0.057
GHA,2020,178497000000.0,0.005
GHA,2021,196158000000.0,0.051
GHA,2022,216432000000.0,0.031
GHA,2023,229388000000.0,0.023
GHA,2024,241450000000.0,0.0279999999999999
GIN,2020,36164000000.0,0.047
GIN,2021,39933000000.0,0.0559999999999999
GIN,2022,44443000000.0,0.04
GIN,2023,48688000000.0,0.057
GIN,2024,51894000000.0,0.0409999999999999
GNB,2020,4444000000.0,0.015
GNB,2021,4945000000.0,0.064
GNB,2022,5516000000.0,0.042
GNB,2023,5957000000.0,0.042
GNB,2024,6406000000.0,0.05
HND,2020,53632000000.0,-0.09
HND,2021,63122000000.0,0.125
HND,2022,70268000000.0,0.04
HND,2023,75378000000.0,0.035
HND,2024,79975000000.0,0.036
HTI,2020,35258000000.0,-0.033
HTI,2021,36212000000.0,-0.018
HTI,2022,38109000000.0,-0.017
HTI,2023,38762000000.0,-0.019
HTI,2024,38506000000.0,-0.03
HUN,2020,324901000000.0,-0.045
HUN,2021,363875000000.0,0.071
HUN,2022,407235000000.0,0.046
HUN,2023,418245000000.0,-0.009
HUN,2024,437767000000.0,0.022
IDN,2020,3299097000000.0,-0.021
IDN,2021,3578125000000.0,0.037
IDN,2022,4033329000000.0,0.053
IDN,2023,4391378000000.0,0.05
IDN,2024,4720542000000.0,0.05
IND,2020,9087493000000.0,-0.0579999999999999
IND,2021,10425074000000.0,0.0969999999999999
IND,2022,11938765000000.0,0.07
IND,2023,13342452000000.0,0.078
IND,2024,14594460000000.0,0.068
IRN,2020,1327597000000.0,0.033
IRN,2021,1454001000000.0,0.047
IRN,2022,1615152000000.0,0.038
IRN,2023,1752856000000.0,0.047
IRN,2024,1854845000000.0,0.033
IRQ,2020,414531000000.0,-0.121
IRQ,2021,440388000000.0,0.016
IRQ,2022,504312000000.0,0.07
IRQ,2023,511320000000.0,-0.022
IRQ,2024,530861000000.0,0.0139999999999999
ISL,2020,20188000000.0,-0.069
ISL,2021,22200000000.0,0.051
ISL,2022,25874000000.0,0.089
ISL,2023,27907000000.0,0.0409999999999999
ISL,2024,29077000000.0,0.017
ISR,2020,385098000000.0,-0.015
ISR,2021,440390000000.0,0.093
ISR,2022,501898000000.0,0.065
ISR,2023,530610000000.0,0.02
ISR,2024,552151000000.0,0.016
ITA,2020,2460699000000.0,-0.09
ITA,2021,2787390000000.0,0.083
ITA,2022,3102574000000.0,0.04
ITA,2023,3245273000000.0,0.009
ITA,2024,3347103000000.0,0.0069999999999999
JAM,2020,27367000000.0,-0.099
JAM,2021,29939000000.0,0.046
JAM,2022,33721000000.0,0.052
JAM,2023,35719000000.0,0.022
JAM,2024,37239000000.0,0.018
JOR,2020,106312000000.0,-0.011
JOR,2021,115251000000.0,0.037
JOR,2022,126361000000.0,0.024
JOR,2023,134372999999.99998,0.026
JOR,2024,141191000000.0,0.026
JPN,2020,5314130000000.0,-0.0409999999999999
JPN,2021,5700028000000.0,0.026
JPN,2022,6159757000000.0,0.01
JPN,2023,6507063000000.0,0.019
JPN,2024,6720962000000.0,0.009
KEN,2020,246434000000.0,-0.003
KEN,2021,277296000000.0,0.076
KEN,2022,311205000000.0,0.048
KEN,2023,340312000000.0,0.055
KEN,2024,365854000000.0,0.05
KIR,2020,311000000.0,-0.006
KIR,2021,353000000.0,0.085
KIR,2022,393000000.0,0.039
KIR,2023,424000000.0,0.042
KIR,2024,460000000.0,0.0579999999999999
KNA,2020,1339000000.0,-0.146
KNA,2021,1388000000.0,-0.009
KNA,2022,1617000000.0,0.088
KNA,2023,1734000000.0,0.034
KNA,2024,1860000000.0,0.047
KWT,2020,213837000000.0,-0.053
KWT,2021,227438000000.0,0.017
KWT,2022,258395000000.0,0.061
KWT,2023,261839000000.0,-0.022
KWT,2024,264301000000.0,-0.0139999999999999
LBN,2020,77581000000.0,-0.259
LBN,2021,73025000000.0,-0.1
LBN,2022,78166000000.0,0.0
LBN,2023,0.0,0.0
LBN,2024,0.0,0.0
LBR,2020,7270000000.0,-0.03
LBR,2021,7984000000.0,0.05
LBR,2022,8957000000.0,0.048
LBR,2023,9709000000.0,0.046
LBR,2024,10468000000.0,0.053
LBY,2020,110051000000.0,-0.295
LBY,2021,147709000000.0,0.283
LBY,2022,145062000000.0,-0.083
LBY,2023,165619000000.0,0.102
LBY,2024,182897000000.0,0.078
LKA,2020,298882000000.0,-0.046
LKA,2021,323564000000.0,0.035
LKA,2022,319248000000.0,-0.078
LKA,2023,0.0,0.0
LKA,2024,0.0,0.0
LSO,2020,5453000000.0,-0.053
LSO,2021,5800000000.0,0.017
LSO,2022,6307000000.0,0.016
LSO,2023,6660000000.0,0.019
LSO,2024,6983000000.0,0.024
LTU,2020,109715000000.0,0.0
LTU,2021,121957000000.0,0.063
LTU,2022,133729000000.00002,0.024
LTU,2023,138128000000.0,-0.003
LTU,2024,144585000000.0,0.022
LUX,2020,74931000000.0,-0.009
LUX,2021,83984000000.0,0.072
LUX,2022,91138000000.0,0.0139999999999999
LUX,2023,93425000000.0,-0.011
LUX,2024,96886000000.0,0.013
LVA,2020,59260000000.0,-0.035
LVA,2021,66149000000.0,0.067
LVA,2022,72898000000.0,0.03
LVA,2023,75325000000.0,-0.003
LVA,2024,78421000000.0,0.017
MAC,2020,34852000000.0,-0.047
MAC,2021,38094000000.0,0.045
MAC,2022,41682000000.0,0.022
MAC,2023,43645000000.0,0.01
MAC,2024,45905000000.0,0.027
MAR,2020,296201000000.0,-0.072
MAR,2021,334630000000.0,0.08
MAR,2022,362699000000.0,0.013
MAR,2023,387260000000.0,0.03
MAR,2024,409073000000.0,0.031
MDA,2020,32918000000.0,-0.083
MDA,2021,39213000000.0,0.139
MDA,2022,39882000000.0,-0.05
MDA,2023,41762000000.0,0.01
MDA,2024,43882000000.0,0.026
MLI,2020,47501000000.0,-0.012
MLI,2021,51195000000.0,0.031
MLI,2022,56704000000.0,0.035
MLI,2023,61416000000.0,0.045
MLI,2024,65413000000.0,0.04
MLT,2020,23001000000.0,-0.0819999999999999
